account_id,customer_id,account_type,balance,credit_limit,status,created_at,updated_at
SAV71594545,CID1000000,Savings,94861.73,,ACTIVE,2023-06-26 10:42:37.437042,2025-05-27 10:42:37.437066
CC11261684,CID1000000,Credit Card,112057.36,50000.0,ACTIVE,2024-04-28 10:42:37.437077,2025-05-27 10:42:37.437079
SAV30910834,CID1000001,Savings,129982.41,,INACTIVE,2024-07-17 10:42:37.437085,2025-05-27 10:42:37.437087
CC43903569,CID1000001,Credit Card,35369.52,100000.0,INACTIVE,2024-09-17 10:42:37.437092,2025-05-27 10:42:37.437094
SAV27137757,CID1000002,Savings,59195.58,,INACTIVE,2024-07-05 10:42:37.437099,2025-05-27 10:42:37.437101
CC81183190,CID1000002,Credit Card,102185.87,100000.0,ACTIVE,2022-11-20 10:42:37.437109,2025-05-27 10:42:37.437112
SAV62620044,CID1000003,Savings,122748.31,,INACTIVE,2023-11-13 10:42:37.437117,2025-05-27 10:42:37.437119
CC47641009,CID1000003,Credit Card,51538.56,100000.0,INACTIVE,2023-10-10 10:42:37.437124,2025-05-27 10:42:37.437127
SAV41936714,CID1000004,Savings,82673.15,,ACTIVE,2023-10-07 10:42:37.437131,2025-05-27 10:42:37.437133
CC34098202,CID1000004,Credit Card,49010.1,100000.0,INACTIVE,2023-05-10 10:42:37.437137,2025-05-27 10:42:37.437139
SAV22603328,CID1000005,Savings,191026.85,,INACTIVE,2022-10-12 10:42:37.437142,2025-05-27 10:42:37.437145
CC81209856,CID1000005,Credit Card,63625.88,100000.0,ACTIVE,2024-06-07 10:42:37.437149,2025-05-27 10:42:37.437151
SAV98786210,CID1000006,Savings,66059.7,,ACTIVE,2022-12-13 10:42:37.437157,2025-05-27 10:42:37.437158
CC90089559,CID1000006,Credit Card,49981.38,50000.0,INACTIVE,2022-10-31 10:42:37.437162,2025-05-27 10:42:37.437164
SAV41741309,CID1000007,Savings,35224.72,,INACTIVE,2024-08-10 10:42:37.437168,2025-05-27 10:42:37.437170
CC88762884,CID1000007,Credit Card,43634.85,150000.0,INACTIVE,2024-10-17 10:42:37.437173,2025-05-27 10:42:37.437176
SAV53656894,CID1000008,Savings,95068.7,,ACTIVE,2023-04-21 10:42:37.437181,2025-05-27 10:42:37.437184
CC93291294,CID1000008,Credit Card,35405.0,50000.0,INACTIVE,2024-03-08 10:42:37.437192,2025-05-27 10:42:37.437196
SAV72276527,CID1000009,Savings,111799.7,,ACTIVE,2022-11-16 10:42:37.437201,2025-05-27 10:42:37.437205
CC41511804,CID1000009,Credit Card,75118.66,50000.0,ACTIVE,2023-09-04 10:42:37.437212,2025-05-27 10:42:37.437217
SAV74251338,CID1000010,Savings,124369.5,,INACTIVE,2023-03-21 10:42:37.437221,2025-05-27 10:42:37.437236
CC12604955,CID1000010,Credit Card,31049.54,50000.0,INACTIVE,2023-04-20 10:42:37.437240,2025-05-27 10:42:37.437243
SAV11351355,CID1000011,Savings,156362.15,,ACTIVE,2022-11-06 10:42:37.437247,2025-05-27 10:42:37.437249
CC52933574,CID1000011,Credit Card,136738.07,100000.0,INACTIVE,2023-06-15 10:42:37.437253,2025-05-27 10:42:37.437255
SAV77202831,CID1000012,Savings,174590.85,,ACTIVE,2022-09-06 10:42:37.437259,2025-05-27 10:42:37.437261
CC54813517,CID1000012,Credit Card,124223.77,50000.0,INACTIVE,2024-04-15 10:42:37.437265,2025-05-27 10:42:37.437267
SAV24567992,CID1000013,Savings,64516.68,,ACTIVE,2024-11-04 10:42:37.437270,2025-05-27 10:42:37.437272
CC26276453,CID1000013,Credit Card,43318.08,100000.0,ACTIVE,2024-10-06 10:42:37.437276,2025-05-27 10:42:37.437278
SAV54006415,CID1000014,Savings,75385.99,,INACTIVE,2023-05-14 10:42:37.437282,2025-05-27 10:42:37.437283
CC38109865,CID1000014,Credit Card,131883.76,100000.0,ACTIVE,2023-12-26 10:42:37.437287,2025-05-27 10:42:37.437289
SAV89119881,CID1000015,Savings,48314.72,,INACTIVE,2025-01-14 10:42:37.437293,2025-05-27 10:42:37.437294
CC22642889,CID1000015,Credit Card,51617.51,50000.0,ACTIVE,2023-09-10 10:42:37.437298,2025-05-27 10:42:37.437300
SAV76662465,CID1000016,Savings,133583.11,,ACTIVE,2024-02-14 10:42:37.437304,2025-05-27 10:42:37.437306
CC72137999,CID1000016,Credit Card,95694.04,150000.0,INACTIVE,2023-03-30 10:42:37.437310,2025-05-27 10:42:37.437312
SAV45658966,CID1000017,Savings,29644.78,,ACTIVE,2023-05-30 10:42:37.437316,2025-05-27 10:42:37.437319
CC71742678,CID1000017,Credit Card,6258.38,150000.0,INACTIVE,2023-07-21 10:42:37.437326,2025-05-27 10:42:37.437329
SAV64567348,CID1000018,Savings,159140.31,,INACTIVE,2022-09-11 10:42:37.437335,2025-05-27 10:42:37.437338
CC93523451,CID1000018,Credit Card,6028.68,150000.0,ACTIVE,2023-08-24 10:42:37.437344,2025-05-27 10:42:37.437346
SAV39906924,CID1000019,Savings,105950.29,,INACTIVE,2024-05-08 10:42:37.437350,2025-05-27 10:42:37.437352
CC70126034,CID1000019,Credit Card,126875.62,150000.0,INACTIVE,2023-02-25 10:42:37.437356,2025-05-27 10:42:37.437358
SAV48629874,CID1000020,Savings,181059.3,,ACTIVE,2023-01-02 10:42:37.437361,2025-05-27 10:42:37.437363
CC57549861,CID1000020,Credit Card,75505.42,150000.0,ACTIVE,2023-02-03 10:42:37.437367,2025-05-27 10:42:37.437369
SAV54975544,CID1000021,Savings,37412.47,,INACTIVE,2024-10-20 10:42:37.437372,2025-05-27 10:42:37.437374
